Model Name,Training Accuracy,Test Accuracy
Model 1,0.9482333064079285,0.8852999806404114
Model 2,0.9519333243370056,0.8862000107765198
Model 3,0.8460000157356262,0.8223999738693237
Model 4,0.8428666591644287,0.8366000056266785
Model 5,0.51746666431427,0.35740000009536743
Model 6,0.44475001096725464,0.3971000015735626
Model 7,0.5542666912078857,0.5105999708175659
Model 8,0.5556833148002625,0.5986999869346619
