model,embedding_dim,units,regularizer_rate,epochs_run,test_accuracy,test_loss
LSTM,128,64,0.01,14,0.49380001425743103,0.6932626366615295
GRU,128,64,0.01,30,0.870199978351593,0.49454715847969055
