epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.3605785369873047,0.645733654499054,0.5353667736053467,0.6499496102333069
2,0.6633878350257874,0.559095025062561,0.6360403895378113,0.7633568644523621
3,0.5336028337478638,0.4816596806049347,0.7723926901817322,0.7988911271095276
4,0.4562452733516693,0.3080528974533081,0.8151821494102478,0.9002016186714172
5,0.3037097454071045,0.2513800859451294,0.8932135701179504,0.9193548560142517
6,0.2420109510421753,0.20684736967086792,0.9166042804718018,0.936743974685669
7,0.2102678269147873,0.19505295157432556,0.9351297616958618,0.9425403475761414
8,0.18811391294002533,0.16476917266845703,0.9418662786483765,0.9548891186714172
9,0.16555318236351013,0.14835265278816223,0.9510354399681091,0.9548891186714172
10,0.152017742395401,0.14562083780765533,0.9572106003761292,0.9591733813285828
11,0.13872234523296356,0.20785106718540192,0.9649451375007629,0.9319556355476379
12,0.12419560551643372,0.1106296107172966,0.9688747525215149,0.9742943644523621
13,0.12144740670919418,0.12411627173423767,0.9697480201721191,0.9705141186714172
14,0.10704761743545532,0.11029507964849472,0.9757984280586243,0.9712701439857483
15,0.09968621283769608,0.09166200459003448,0.9772330522537231,0.9823588728904724
16,0.09036867320537567,0.08144684880971909,0.9800398945808411,0.9838709831237793
17,0.09281740337610245,0.07570071518421173,0.9797280430793762,0.9879032373428345
18,0.08159568905830383,0.08220873028039932,0.9834705591201782,0.9848790168762207
19,0.08621370047330856,0.11466836929321289,0.985029935836792,0.9737903475761414
20,0.07734284549951553,0.0933040902018547,0.9830963015556335,0.9803427457809448
21,0.07501334697008133,0.07461664080619812,0.9849051833152771,0.9838709831237793
22,0.06206837296485901,0.060130272060632706,0.9890219569206238,0.9901713728904724
23,0.06977420300245285,0.07675862312316895,0.9859655499458313,0.9828628897666931
24,0.052330244332551956,0.05273009464144707,0.9917664527893066,0.9916834831237793
25,0.04794381186366081,0.03362609073519707,0.9930139780044556,0.9954637289047241
26,0.05075380206108093,0.08738694339990616,0.9915793538093567,0.9831148982048035
27,0.0570729523897171,0.045573409646749496,0.9905189871788025,0.9931955933570862
28,0.04124864563345909,0.048373743891716,0.9941367506980896,0.9911794066429138
29,0.04606608301401138,0.06559506058692932,0.9919536113739014,0.9823588728904724
30,0.04385596141219139,0.04438018053770065,0.9920783638954163,0.9924395084381104
