Model Name,Training Accuracy,Test Accuracy
Model 1,0.9512500166893005,0.8795999884605408
Model 2,0.9487666487693787,0.8701000213623047
Model 3,0.8450499773025513,0.8356000185012817
Model 4,0.845716655254364,0.8450000286102295
Model 5,0.5475333333015442,0.5482000112533569
Model 6,0.40868332982063293,0.41909998655319214
Model 7,0.5485833287239075,0.5162000060081482
Model 8,0.5508000254631042,0.5562000274658203
